id, title, rating_imdb, rating_rt, rating_metacritic, box_office, date
0, "A Herança", 7.5/10, 68%, 86/100, $653.948.880, 1970
1, "Na Boca da Noite", 5.8/10, 54%, 73/100, $807.800.091, 2016
2, "The Other Side of the Wind", 9.7/10, 38%, 93/100, $24.326.001, 2018
3, "Chief Zabu", 7.8/10, 69%, 3/100, $204.953.264, 2016
4, "The Wandering Soap Opera", 7.2/10, 43%, 11/100, $268.631.574, 2017
5, "Bigfoot", 3.6/10, 50%, N/A, $497.431.570, 1995
6, "Biriken", 6.3/10, 33%, 38/100, $506.666.595, 1996
7, "Still Waters Burn", 6.7/10, 7%, 14/100, $636.764.168, 2008
8, "The Junior Defenders", 4.7/10, 58%, 23/100, $24.826.014, 2007
9, "My Apocalypse", 5.7/10, 43%, 73/100, $81.286.841, 2008
10, "Moonlight Blade", 4.1/10, 12%, 26/100, $884.886.788, 2009
11, "A Opção", 7.3/10, 18%, 74/100, $854.710.381, 1981
12, "Olhar o Cinema Português: 1896-2006", 6.2/10, 97%, 42/100, $96.772.034, 1997
13, "Seven Days of Grace", 4.0/10, 26%, 29/100, $870.636.940, 2006
14, "Joe Finds Grace", 5.3/10, 35%, 6/100, $422.462.453, 2016
15, "Apaföld", 5.3/10, 75%, 85/100, $575.603.179, 2009
16, "Whispers from a Shallow Grave", 4.5/10, 5%, 100/100, $299.778.357, 2006
17, "Nema aviona za Zagreb", 3.1/10, 95%, 89/100, $186.530.543, 2012
18, "Aranyóra", 1.2/10, 26%, 84/100, $524.969.800, 2006
19, "Pál Adrienn", 6.8/10, 83%, 77/100, $685.232.863, 2010
20, "Open Letter", 7.3/10, 10%, 42/100, N/A, 1967
21, "Camembert Rose", 5.9/10, 90%, 56/100, $307.025.390, 2009
22, "So Much for Justice!", 4.6/10, 8%, 62/100, $793.434.785, 2010
23, "Cooper and Hemingway: The True Gen", 7.7/10, 10%, 54/100, $840.991.818, 2013
24, "Children of the Green Dragon", 6.9/10, 17%, 19/100, $721.369.187, 2010
25, "Viúva Rica Solteira Não Fica", 6.5/10, 2%, 88/100, $231.157.664, 2006
26, "T.G.M. - osvoboditel", 7.6/10, 48%, 68/100, $246.323.336, 1990
27, "The Tragedy of Man", 7.8/10, 93%, 26/100, $701.952.865, 2011
28, "Geliebte Clara", 5.6/10, 21%, 19/100, $172.462.900, 2008
29, "Everything's Jake", 6.2/10, 79%, 17/100, $783.436.017, 2006
30, "How Huang Fei-hong Rescued the Orphan from the Tiger's Den", 6.6/10, 53%, 76/100, $120.228.094, 2011
31, "I vicerè", 6.2/10, 61%, 13/100, $580.921.818, 2007
32, "Live Freaky Die Freaky", 5.3/10, 87%, 12/100, $822.793.450, 2006
33, "Ashling's Fury", 5.4/10, 57%, 59/100, $953.297.898, 2007
34, "The Bank Job", 7.3/10, 79%, 69/100, $30.028.592, 2008
35, "Death of a Saleswoman", 1.8/10, 46%, 69/100, $41.150.716, 2006
36, "Summer of the Moonlight Sonata", 0.1/10, 77%, 60/100, $95.927.970, 1993
37, "Os Monstros de Babaloo", 6.3/10, 80%, 95/100, $90.991.134, 1971
38, "Children of Men", 7.9/10, 92%, 84/100, $35.100.000, 2006
39, "Hermano", 7.2/10, 80%, 12/100, $651.533.259, 2007
40, "The Hands of Che Guevara", 7.1/10, 8%, 19/100, $766.911.367, 2006
41, "Awake", 6.5/10, 23%, 33/100, $14.296.153, 2007
42, "Berlin Calling", 7.3/10, 59%, 37/100, $776.173.203, 2008
43, "Partition", 7.0/10, 38%, 48/100, $265.317.571, 2007
44, "Tortilla Heaven", 5.5/10, 25%, 22/100, $73.452, 2007
45, "The Final Journey", 7.3/10, 60%, 51/100, $841.998.775, 2010
46, "Speaking Tree", 8.5/10, 91%, 97/100, $944.896.464, 2007
47, "Alpha Omega", 8.6/10, 91%, 92/100, $754.060.404, 2006
48, "Sleepwalking Land", 6.9/10, 0%, 47/100, $796.368.025, 2007
49, "Funny Money", 5.3/10, 43%, 57/100, $565.048.136, 2006
50, "Anatoly Rybakov: The Russian Story", 0.7/10, 74%, 38/100, $315.506.605, 2006
51, "The Sounds of Silents - Der Stummfilmpianist", 7.3/10, 41%, 68/100, $512.219.954, 2006
52, "Los pájaros se van con la muerte", 4.0/10, 68%, 75/100, $638.165.995, 2011
53, "Foodfight!", 1.7/10, 55%, 24/100, $612.524.378, 2012
54, "Pretty Cool", 4.3/10, 10%, 48/100, $837.543.502, 2006
