id, review
0, "Isabelle...Huppert...yaaaaasssss...queen..."
0, "Verhoeven goes Beauty and the Beastin his own darkly humoristic and refreshingly provocativebut also explorative way."
0, "WowI have no idea how to review this messy film."
0, "The plot sometimes goes into a haltbut thanks to Isabelle Huppert's notable performance and emphasize on her character"""Elle""" is a concise and controlled psychological thriller/drama."
0, "Blugch&nbsp;"
0, "How do you take a story about a victim&nbsp;"
0, "And make it so unempathetic"
0, "Apart from Hupperts performance (which is to be commended even if it is so clinical and removed and unlikeable) Elle is a boringuneven mess of a film."
0, "The beginning of this film made me think it would be a lot more cohesive than it ended up being. It definitely worked in some waysbut I'm not sure if it worked in others. There's a lot going on here with all those charactersand I kind of wish more time had been given to Michèle's relationship with her best friend. I might need to sleep on this. I might actually like this movie."
0, "The beginning of this film also made me think the cat would get more screen time."
0, "There's no doubt that Isabelle Huppert was amazing. There's also no doubt that this film would only be made by a man."
0, "What a horrifically dark and troubling movie.<br> I will say that I do like it. I don't agree with the choices characters make in the moviebut I do like the film."
0, "Vaya locurón incómododesconcertante y provocador. Vaya tropa de seres despreciablesmiserables y llenos de secretossexuales especialmente.<br> Aún la estoy digiriendo. Quiero leer el libro.<br> Quiero saber másVerhoeven."
0, "Se un film non demenziale riesce a non essere mai banale per me raggiunge quasi sempre la sufficienzaElle ci mette difronte una scenografia tra l'eroticoil thriller e il gialloinedito direi. Molte scene che evidenziano un dna francesemolto lontano dagli standardmolto sfacciato e direttoun viaggio nella psiche di chi subisce una violenza sessuale e di chi la circonda. A volte un po' lento ma senz'altro riesce a distinguersi nettamente dalla massae riesce a sedurti perché mostra tutta la perversione che sopratutto il perbenismo nasconde."
0, "Sinceramente non so che dire."
1, "Un battito del cuore sincronizzato quello tra lo spettatore e i personaggiuna connessione ultraterrena. Immagini che scuotono il corpoprovocando eccitazione e sgomento. Una è la parola che unisce tutto: Amore. Le sorelle Wachowski sono molto legate al concetto di amore connesso tra gli individui: <i>Cloud Atlas anticipa quello che poi sarà <i>Sense8,</i> ma a mio parere con una potenza molto più devastante della serie tv Netflix.&nbsp;</p>"
1, "Oltre il tempo e lo spazioAmore rimane per sempre."
1, "I just don't know."
1, "Awesome!"
1, "This was an enjoyable film but felt like a collection of short stories that did not really link up together."
1, "There are some terrible accents..."
1, "I admittedly was distractedbut I remember virtually nothing about this moviewhich says a good bit about this movie. There is just nothing there to keep you pulled in. It's just so convoluted. Maybe it will improve on a re-watchwhich I'm open to. When it endedI wasn't left with a negative impression."
1, "The word """pretentious""" comes to mind."
1, "Bloody hellthis thing went on foreverdidn't it."
1, "Amazing story expressing intellectual view of universe"
1, "Things are only impossible until they're not."
2, "I love the weirdo combination of very brutal graphic violence and heady sci-fi ideasto satisfy both the blockbuster franchise audience and honor the genuine thematic weight of these movies at their best."
2, "God damnsaw it for free and I still wished that I didnt go."
2, "Like watching Paint Dry....beyond belief awful !!!"
2, "i wanna pet alien ugh"
2, "They ruined sexy shower time.<br> NEVER ruin sexy shower time."
2, "there’s two michael fassbenders what more can you ask for"
2, "I  enjoy main actor in this movie.We  hated everything in this movie.I  hated everything in this movie.My sister enjoy villian in this movie.We  recommend villian in this movie.My sister like main actor in this movie."
3, "Five Stars Featuring:&nbsp;<br> -Brian Cranston yelling"
3, "-That crazy busdriver<br> -Those office workers who were still working while the monsters fought<br> -Awesome sound design<br> -Andy Serkis probably<br> -like seriouslywhy are they still at the office I don't get it"
3, "Ishirō Honda would’ve been proud."
3, "(And just <b>IMAGINE&nbsp;how great <i>Rogue One</i>&nbsp;could’ve been if Kathleen Kennedy didn’t hijack the project.)</p>"
3, "The last American godzilla movie was bad (says toho) but this movie is a love letter to godzilla fans"
3, "Godzilla looked pretty fucking awesome in this and the monster fights were actually really really badass. Some interesting camerawork here and there but otherwise pretty bland.<br> The scene with the dudes jumping out of the plane with the red trails had some cool imagery and musicpretty good stuff.<br> Way too much just people talking. Needs to be a lot more moster fights. I just need a movie with a long ass monster fight that builds and builds and builds and just gets unbelievably insane by the climax. That's what I want."
3, "Got what I wanted."
3, "I too wish Godzilla would blast their atomic breath into my mouthkilling me instantly."
3, "Terrible movie. Despite Ken Watanabe saying """let them fight""" we barely see any Godzilla smack-down in this movie. The first glimpse at possible monster action is cut away and you see just glimpses of the action on some TV screen."
