word, type
happy, positive
adaptable, positive
adventurous, positive
affable, positive
affectionate, positive
agreeable, positive
ambitious, positive
amiable, positive
amicable, positive
amusing, positive
brave, positive
bright, positive
broad-minded, positive
calm, positive
careful, positive
charming, positive
communicative, positive
compassionate, positive
conscientious, positive
considerate, positive
convivial, positive
courageous, positive
courteous, positive
creative, positive
decisive, positive
determined, positive
diligent, positive
diplomatic, positive
discreet, positive
dynamic, positive
easygoing, positive
emotional, positive
energetic, positive
enthusiastic, positive
exuberant, positive
fair-minded, positive
faithful, positive
fearless, positive
forceful, positive
frank, positive
friendly, positive
funny, positive
generous, positive
gentle, positive
good, positive
gregarious, positive
hard-working, positive
helpful, positive
honest, positive
humorous, positive
imaginative, positive
impartial, positive
independent, positive
intellectual, positive
intelligent, positive
intuitive, positive
inventive, positive
kind, positive
loving, positive
loyal, positive
modest, positive
neat, positive
nice, positive
optimistic, positive
passionate, positive
patient, positive
persistent, positive
pioneering, positive
philosophical, positive
placid, positive
plucky, positive
polite, positive
powerful, positive
practical, positive
pro-active, positive
quick-witted, positive
quiet, positive
rational, positive
reliable, positive
reserved, positive
resourceful, positive
romantic, positive
self-confident, positive
self-disciplined, positive
sensible, positive
sensitive, positive
shy, positive
sincere, positive
sociable, positive
straightforward, positive
sympathetic, positive
thoughtful, positive
tidy, positive
tough, positive
unassuming, positive
understanding, positive
versatile, positive
warmhearted, positive
willing, positive
witty, positive
aggressive, negative
aloof, negative
arrogant, negative
belligerent, negative
big-headed, negative
bitchy, negative
boastful, negative
bone-idle, negative
boring, negative
bossy, negative
callous, negative
cantankerous, negative
careless, negative
changeable, negative
clinging, negative
compulsive, negative
conservative, negative
cowardly, negative
cruel, negative
cunning, negative
cynical, negative
deceitful, negative
detached, negative
dishonest, negative
dogmatic, negative
domineering, negative
finicky, negative
flirtatious, negative
foolish, negative
foolhardy, negative
fussy, negative
greedy, negative
grumpy, negative
gullible, negative
harsh, negative
impatient, negative
impolite, negative
impulsive, negative
inconsiderate, negative
inconsistent, negative
indecisive, negative
indiscreet, negative
inflexible, negative
interfering, negative
intolerant, negative
irresponsible, negative
jealous, negative
lazy, negative
Machiavellian, negative
materialistic, negative
mean, negative
miserly, negative
moody, negative
narrow-minded, negative
nasty, negative
naughty, negative
nervous, negative
obsessive, negative
obstinate, negative
overcritical, negative
overemotional, negative
parsimonious, negative
patronizing, negative
perverse, negative
pessimistic, negative
pompous, negative
possessive, negative
pusillanimous, negative
quarrelsome, negative
quick-tempered, negative
resentful, negative
rude, negative
ruthless, negative
sarcastic, negative
secretive, negative
selfish, negative
self-centred, negative
self-indulgent, negative
silly, negative
sneaky, negative
stingy, negative
stubborn, negative
stupid, negative
superficial, negative
tactless, negative
timid, negative
touchy, negative
thoughtless, negative
truculent, negative
unkind, negative
unpredictable, negative
unreliable, negative
untidy, negative
untrustworthy, negative
vague, negative
vain, negative
vengeful, negative
vulgar, negative
weak-willed, negative
