id, actor
0, David Cardoso
0, Bárbara Fazio
0, Rosalvo Caçador
0, Américo Taricano
1, Rubens Correia
1, Ivan de Albuquerque
1, Roberto Bonfim
1, Marilia Carneiro
2, John Huston
2, Robert Random
2, Peter Bogdanovich
2, Susan Strasberg
3, Allen Garfield
3, Zack Norman
3, Allan Arbus
3, Ed Lauter
4, Luis Alarcón
4, Patricia Rivadeneira
4, Francisco Reyes
4, Consuelo Castillo
5, N/A
6, Tetta Sugimoto
6, Tomoko Yamaguchi
6, Ryûtarô Gan
7, Ian Hart
7, Claudia Wells
7, Lina Broydo
7, Ian Davidson
8, Ally Sheedy
8, Brian O'Halloran
8, Justin Henry
8, Jason David Frank
9, Corin Nemec
9, Bruce Weitz
9, Nancy Allen
9, John de Lancie
10, Tony Devon
10, Lori Singleton
10, Mark Dermott
10, Thomas Finn
11, Carmem Angélica
11, Vilma Camargo
11, Nere de Passy
11, Jairo Ferreira
12, João Bénard da Costa
13, Stephanie Beacham
13, Ria Coyne
13, Lesley-Anne Down
13, Peter Evans
14, Anthony Harrison
14, C. Ernst Harth
14, Ellie Harvie
14, Chilton Crane
15, Tamás Ravasz
15, János Derzsi
15, Andrea Nagy
15, Lukács Bicskey
16, Trudi Jo Marie Keck
16, Gerald Brodin
16, Gwen Brownson
16, Lateefah Devoe
17, Meher Baba
17, Timothy Leary
17, Louis van Gasteren
18, N/A
19, Éva Gábor
19, István Znamenák
19, Ákos Horváth
19, Lia Pokorny
20, Nikiforos Naneris
20, Eleni Theofilou
20, Betty Arvaniti
20, Minos Argyrakis
21, Barnabás Tóth
21, Zoltán Bezerédy
21, Levente Molnár
21, Linda Lisztes
22, Daniel Olbrychski
22, Kornél Mundruczó
22, Zoltán Mucsi
22, György Cserhalmi
23, Sam Waterston
23, Len Cariou
23, Nancy Crawford
23, Kirk Douglas
24, Zoltán Rátóti
24, Yu Debin
24, Eszter Bánfalvi
24, Ferenc Lengyel
25, Bianca Byington
25, Cucha Carvalheiro
25, José Raposo
25, Rogério Samora
26, N/A
27, Gyula Balázsi
27, Péter Benkö
27, Ágnes Bertalan
27, Péter Blaskó
28, Martina Gedeck
28, Pascal Greggory
28, Malik Zidi
28, Aline Annessy
29, Ernie Hudson
29, Robin Givens
29, Debbie Allen
29, Lou Rawls
30, Tak-Hing Kwan
31, Alessandro Preziosi
31, Lando Buzzanca
31, Cristiana Capotondi
31, Guido Caprino
32, Nick 13
32, Billie Joe Armstrong
32, Tim Armstrong
32, Rob Aston
33, Natalie E. Alexander
33, Christine Chervenak
33, Tony Devon
33, Katie Krause
34, Jason Statham
34, Saffron Burrows
34, Stephen Campbell Moore
34, Daniel Mays
35, Cynthia Mann
35, Samuel Adams
35, Alicia Avallone
35, Darrell Bryan
36, Tokue Hanazawa
36, Mako Ishino
36, Tetsuko Kobayashi
36, Norikatsu Nagano
37, Helena Ignez
37, Wilza Carla
37, Zezé Macedo
37, Betty Faria
38, Clive Owen
38, Juan Gabriel Yacuzzi
38, Michael Caine
38, Mishal Husain
39, Ignazio Oliva
39, Rade Serbedzija
39, Paolo Villaggio
39, Cristina Moglia
40, N/A
41, Hayden Christensen
41, Jessica Alba
41, Terrence Howard
41, Lena Olin
42, Paul Kalkbrenner
42, Rita Lengyel
42, Corinna Harfouch
42, Araba Walton
43, Jimi Mistry
43, Kristin Kreuk
43, Neve Campbell
43, John Light
44, José Zúñiga
44, Miguel Sandoval
44, Olivia Hussey
44, Elpidia Carrillo
45, R.J. Adams
45, Rob Adams
46, Deva Raja Rabari
46, Sonibai Deva Rabari
46, Sura Raja Rabari
46, Sonibai
47, N/A
48, Nick Lauro Teresa
48, Aladino Jasse
48, Ernesto Lemos Macuacua
48, Filimone Meigos
49, Chevy Chase
49, Penelope Ann Miller
49, Armand Assante
49, Christopher McDonald
50, Anatoli Rybakov
51, Willy Sommerfeld
51, Dieter Brauer
51, Rudolf Brünger
51, Ulrich Gregor
52, Carlota Sosa
52, Daniela Bascopé
52, Óscar Borda
52, Pedro Lander
53, Charlie Sheen
53, Hilary Duff
53, Eva Longoria
53, Wayne Brady
54, Will Burke
54, Alexis Thorpe
54, Gerard Karsenty
54, Amy Brassette
55, Ken Ward
55, Darlene Conte
55, Jeff Stearns
55, Katherine Boecher
56, Jennifer Tilly
56, Maria Conchita Alonso
56, Tippi Hedren
56, Debi Mazar
57, Ernesto Benjumea
57, Carlos Cruz
57, Xiomara Galeano
57, Franky Linero
58, Joseph Antaki
58, Jannis Meng
58, Erwin Potitt
58, Lingling Meng
59, Matt Long
59, Raquel Alessi
59, Brett Cullen
59, Peter Fonda
60, Milla Jovovich
60, Angus Macfadyen
60, Stephen Dorff
60, Aisha Tyler
61, Lori Heuring
61, Clayne Crawford
61, Patrick Bergin
61, Antonio David Lyons
62, John Patrick Amedori
62, Lizzy Caplan
62, D.J. Cotrona
62, Jenny Wade
63, John Tindall
63, Joachim Wiese
63, Joey Fatone
63, Dennis Scott
64, Sally Kirkland
64, Sheri Hellard
64, Heidi Marnhout
64, Tom Bosley
65, Richard Bradford
65, Ron Randell
65, Anton Rodgers
65, Norman Rossington
66, George Peroulas
66, Fountain Yount
66, Gregory Fawcett
66, William Sanderson
67, Thomas Scharff
67, Francesco Pahlevan
67, Stephanie Kellner
67, Hans-Dieter Brückner
68, Paulo Araujo
68, Daniel Tay
68, Ty Thomas Reed
68, Brian O'Neill
69, Ivan Barnev
69, Oldrich Kaiser
69, Julia Jentsch
69, Marián Labuda
70, Eric Conley
70, Felissa Rose
70, Mark Love
70, Dave Campfield
71, Corey Haim
71, Chris Mulkey
71, Anne Bedian
71, Myles Beeby
72, Betsy Foldes
72, Susan Sarandon
73, Salvatore Basile
73, Ira Frontén
73, Carmenza Gómez
73, Jairo Camargo
74, Oscar Alegre
74, José Luis Alfonzo
74, Gonzalo Arguimbau
74, Alejandro Bardauil
75, Ivan Franek
75, Lenka Krobotová
75, Malgorzata Kozuchowska
75, Andrej Hryc
76, N/A
77, Philip Seymour Hoffman
77, Ethan Hawke
